Expression	Value	Location	Type	
UART_buffer	<array>"\n1, 3254\n\n"	XData:0x1742	uint8 [64]	
[0]	'\n' (0x0A)	XData:0x1742	uint8	
[1]	'1' (0x31)	XData:0x1743	uint8	
[2]	',' (0x2C)	XData:0x1744	uint8	
[3]	' ' (0x20)	XData:0x1745	uint8	
[4]	'3' (0x33)	XData:0x1746	uint8	
[5]	'2' (0x32)	XData:0x1747	uint8	
[6]	'5' (0x35)	XData:0x1748	uint8	
[7]	'4' (0x34)	XData:0x1749	uint8	
[8]	'\n' (0x0A)	XData:0x174A	uint8	
[9]	'\n' (0x0A)	XData:0x174B	uint8	
[10]	'\0' (0x00)	XData:0x174C	uint8	
[11]	'\n' (0x0A)	XData:0x174D	uint8	
[12]	'1' (0x31)	XData:0x174E	uint8	
[13]	',' (0x2C)	XData:0x174F	uint8	
[14]	' ' (0x20)	XData:0x1750	uint8	
[15]	'3' (0x33)	XData:0x1751	uint8	
[16]	'2' (0x32)	XData:0x1752	uint8	
[17]	'8' (0x38)	XData:0x1753	uint8	
[18]	'\0' (0x00)	XData:0x1754	uint8	
[19]	'\n' (0x0A)	XData:0x1755	uint8	
[20]	'1' (0x31)	XData:0x1756	uint8	
[21]	',' (0x2C)	XData:0x1757	uint8	
[22]	' ' (0x20)	XData:0x1758	uint8	
[23]	'3' (0x33)	XData:0x1759	uint8	
[24]	'2' (0x32)	XData:0x175A	uint8	
[25]	'9' (0x39)	XData:0x175B	uint8	
[26]	'6' (0x36)	XData:0x175C	uint8	
[27]	'\n' (0x0A)	XData:0x175D	uint8	
[28]	'\0' (0x00)	XData:0x175E	uint8	
[29]	'\n' (0x0A)	XData:0x175F	uint8	
[30]	'1' (0x31)	XData:0x1760	uint8	
[31]	',' (0x2C)	XData:0x1761	uint8	
[32]	' ' (0x20)	XData:0x1762	uint8	
[33]	'3' (0x33)	XData:0x1763	uint8	
[34]	'2' (0x32)	XData:0x1764	uint8	
[35]	'7' (0x37)	XData:0x1765	uint8	
[36]	'2' (0x32)	XData:0x1766	uint8	
[37]	'\n' (0x0A)	XData:0x1767	uint8	
[38]	'\0' (0x00)	XData:0x1768	uint8	
[39]	'\n' (0x0A)	XData:0x1769	uint8	
[40]	'1' (0x31)	XData:0x176A	uint8	
[41]	',' (0x2C)	XData:0x176B	uint8	
[42]	' ' (0x20)	XData:0x176C	uint8	
[43]	'3' (0x33)	XData:0x176D	uint8	
[44]	'2' (0x32)	XData:0x176E	uint8	
[45]	'5' (0x35)	XData:0x176F	uint8	
[46]	'8' (0x38)	XData:0x1770	uint8	
[47]	'\n' (0x0A)	XData:0x1771	uint8	
[48]	')' (0x29)	XData:0x1772	uint8	
[49]	'1' (0x31)	XData:0x1773	uint8	
[50]	',' (0x2C)	XData:0x1774	uint8	
[51]	' ' (0x20)	XData:0x1775	uint8	
[52]	'3' (0x33)	XData:0x1776	uint8	
[53]	'2' (0x32)	XData:0x1777	uint8	
[54]	'7' (0x37)	XData:0x1778	uint8	
[55]	'0' (0x30)	XData:0x1779	uint8	
[56]	'\n' (0x0A)	XData:0x177A	uint8	
[57]	'L' (0x4C)	XData:0x177B	uint8	
[58]	'\t' (0x09)	XData:0x177C	uint8	
[59]	'.' (0x9A)	XData:0x177D	uint8	
[60]	'.' (0x92)	XData:0x177E	uint8	
[61]	'.' (0xAA)	XData:0x177F	uint8	
[62]	'.' (0xC2)	XData:0x1780	uint8	
[63]	'R' (0x52)	XData:0x1781	uint8	
