Milliseconds,X,Y,Z
2,-0.043096945,-0.105348095,9.624985
11,-0.043096945,-0.105348095,9.624985
21,-0.043096945,-0.105348095,9.624985
32,-0.009577099,-0.13886794,9.62259
41,-0.021548472,-0.15323359,9.629773
51,-0.031125572,-0.15802214,9.620196
61,-0.04070267,-0.15083931,9.620196
71,-0.05985687,-0.11971374,9.586677
81,-0.05506832,-0.12450229,9.601042
92,-0.043096945,-0.14365649,9.584282
101,-0.04070267,-0.11971374,9.601042
111,-0.076616794,-0.11492519,9.620196
121,-0.08619389,-0.117319465,9.596253
131,-0.05506832,-0.1340794,9.598648
141,-0.052674048,-0.12450229,9.608225
151,-0.035914123,-0.117319465,9.620196
162,-0.045491222,-0.15562786,9.550762
171,-0.026337024,-0.15083931,9.62259
181,-0.014365649,-0.15083931,9.636956
191,-0.011971374,-0.15323359,9.624985
201,-0.028731298,-0.14126222,9.660899
211,-0.016759925,-0.15083931,9.668081
221,-0.014365649,-0.13647367,9.644139
232,-0.045491222,-0.15323359,9.696813
241,-0.05027977,-0.15562786,9.632168
251,-0.057462595,-0.1340794,9.617802
261,-0.045491222,-0.16520496,9.598648
271,-0.071828246,-0.1340794,9.591465
282,-0.06943397,-0.117319465,9.565128
291,-0.05506832,-0.117319465,9.577099
301,-0.043096945,-0.117319465,9.62259
311,-0.043096945,-0.117319465,9.613013
321,-0.031125572,-0.11971374,9.620196
331,-0.014365649,-0.117319465,9.620196
341,-0.021548472,-0.117319465,9.615408
352,-0.019154198,-0.15083931,9.608225
361,-0.014365649,-0.13647367,9.60583
371,-0.038308397,-0.14844504,9.62259
381,-0.026337024,-0.14365649,9.624985
391,-0.038308397,-0.14844504,9.62259
401,-0.05506832,-0.15562786,9.608225
412,-0.047885496,-0.12450229,9.591465
421,-0.052674048,-0.13886794,9.596253
431,-0.0670397,-0.13168511,9.61062
441,-0.0670397,-0.13168511,9.596253
451,-0.06464542,-0.117319465,9.586677
461,-0.057462595,-0.117319465,9.615408
471,-0.06464542,-0.12210801,9.593859
481,-0.03351985,-0.13168511,9.617802
492,-0.031125572,-0.13886794,9.60583
501,-0.0071828244,-0.1340794,9.62259
511,-0.019154198,-0.14126222,9.624985
521,-0.0023942748,-0.14605077,9.60583
531,0.0,-0.15323359,9.620196
541,-0.026337024,-0.13168511,9.615408
551,-0.031125572,-0.12929083,9.634562
561,-0.052674048,-0.12689656,9.613013
572,-0.071828246,-0.11492519,9.596253
581,-0.098165266,-0.117319465,9.60583
591,-0.07901107,-0.11253092,9.586677
601,-0.071828246,-0.11253092,9.58907
611,-0.062251143,-0.117319465,9.577099
621,-0.05506832,-0.11253092,9.615408
631,-0.045491222,-0.12450229,9.61062
641,-0.038308397,-0.14844504,9.636956
651,-0.021548472,-0.1340794,9.620196
662,-0.03351985,-0.16520496,9.627379
671,-0.04070267,-0.19393626,9.629773
681,-0.016759925,-0.15802214,9.627379
691,-0.03351985,-0.14605077,9.620196
701,-0.021548472,-0.12450229,9.629773
711,-0.047885496,-0.11253092,9.613013
721,-0.05506832,-0.117319465,9.608225
732,-0.06464542,-0.090982445,9.613013
741,-0.071828246,-0.08858817,9.591465
751,-0.0670397,-0.117319465,9.586677
761,-0.062251143,-0.117319465,9.601042
771,-0.057462595,-0.11492519,9.601042
782,-0.019154198,-0.14126222,9.603436
791,-0.04070267,-0.16759923,9.627379
801,-0.038308397,-0.16281068,9.62259
811,-0.04070267,-0.17478207,9.63935
821,-0.019154198,-0.16281068,9.629773
831,-0.016759925,-0.14844504,9.62259
841,-0.023942748,-0.117319465,9.644139
851,-0.038308397,-0.117319465,9.613013
862,-0.047885496,-0.11492519,9.634562
871,-0.0670397,-0.10055954,9.601042
881,-0.05985687,-0.10774237,9.601042
891,-0.07901107,-0.117319465,9.598648
901,-0.062251143,-0.11253092,9.601042
911,-0.076616794,-0.117319465,9.593859
921,-0.06464542,-0.11971374,9.608225
932,-0.05985687,-0.12450229,9.613013
941,-0.019154198,-0.14365649,9.61062
951,-0.026337024,-0.14365649,9.620196
961,-0.019154198,-0.12929083,9.636956
971,-0.016759925,-0.12450229,9.627379
981,-0.016759925,-0.11971374,9.636956
991,-0.031125572,-0.15802214,9.613013
1001,-0.028731298,-0.12689656,9.617802
1012,-0.023942748,-0.15323359,9.617802
1021,-0.035914123,-0.15083931,9.61062
1031,-0.047885496,-0.15323359,9.60583
1041,-0.06464542,-0.117319465,9.61062
1051,-0.05985687,-0.14126222,9.586677
1061,-0.047885496,-0.14844504,9.608225
1071,-0.057462595,-0.1340794,9.596253
1081,-0.045491222,-0.11013664,9.61062
1092,-0.05985687,-0.11492519,9.598648
1101,-0.0670397,-0.102953814,9.519637
1111,-0.047885496,-0.08858817,9.565128
1121,-0.062251143,-0.12929083,9.632168
1131,-0.009577099,-0.13168511,9.644139
1141,-0.011971374,-0.1699935,9.60583
1151,-0.031125572,-0.18196489,9.653716
1161,-0.011971374,-0.21069619,9.627379
1172,-0.031125572,-0.17957062,9.5794935
1181,-0.05027977,-0.16520496,9.601042
1191,-0.038308397,-0.15323359,9.615408
1201,-0.035914123,-0.16041641,9.634562
1211,-0.0670397,-0.117319465,9.581888
1221,-0.0670397,-0.14126222,9.58907
1231,-0.076616794,-0.117319465,9.601042
1241,-0.0670397,-0.12210801,9.603436
1252,-0.052674048,-0.13647367,9.581888
1261,-0.076616794,-0.1699935,9.603436
1271,-0.057462595,-0.18196489,9.586677
1281,-0.05506832,-0.17238778,9.603436
1291,-0.023942748,-0.15323359,9.624985
1301,-0.023942748,-0.14844504,9.627379
1311,-0.014365649,-0.13647367,9.601042
