Milliseconds,X,Y,Z
0,-0.044809166,-0.13546994,9.805612
101,-0.042382404,-0.13161954,9.8056755
200,-0.04261551,-0.12953249,9.805702
300,-0.04233924,-0.12761882,9.805728
400,-0.039617587,-0.124775216,9.805777
500,-0.0368314,-0.12551156,9.8057785
600,-0.03645208,-0.12251191,9.805818
700,-0.032548744,-0.13055772,9.805727
800,-0.034325283,-0.13039011,9.805723
901,-0.031975854,-0.13087219,9.805725
1000,-0.03441163,-0.12911691,9.805739
1100,-0.03767755,-0.12667795,9.805759
1200,-0.037689555,-0.12680034,9.805758
1300,-0.038248904,-0.13112488,9.805699
1400,-0.04123,-0.12714554,9.805739
1500,-0.04390301,-0.12463982,9.805759
1600,-0.043463506,-0.120467074,9.805815
1700,-0.043546837,-0.11906654,9.805831
1800,-0.042248465,-0.116542906,9.805866
1900,-0.041023847,-0.12121879,9.805816
2000,-0.040964574,-0.12381124,9.805783
2100,-0.03720833,-0.1224486,9.805815
2201,-0.035394467,-0.12295464,9.805816
2300,-0.03681131,-0.12211406,9.80582
2400,-0.03356481,-0.120992206,9.805846
2500,-0.03726051,-0.121497884,9.805826
2600,-0.03826276,-0.12421709,9.805789
2700,-0.039086252,-0.12822397,9.805735
2800,-0.040903546,-0.13252214,9.80567
2900,-0.04021478,-0.13410595,9.805651
3001,-0.035757765,-0.13518435,9.805654
3100,-0.03598808,-0.13837004,9.805608
3200,-0.03993851,-0.13558654,9.805632
3300,-0.036784627,-0.13832694,9.805606
3401,-0.03519195,-0.13772151,9.80562
3500,-0.037145898,-0.13922203,9.805592
3600,-0.03897358,-0.13675265,9.805619
3700,-0.03529925,-0.13852355,9.805609
3800,-0.03472082,-0.13457507,9.805665
3900,-0.034093454,-0.13131672,9.805712
4001,-0.034260415,-0.13141657,9.80571
4100,-0.030831957,-0.13045292,9.805735
4200,-0.030611932,-0.13028462,9.805737
4301,-0.028744504,-0.12593871,9.8057995
4400,-0.027184982,-0.12322857,9.805839
4500,-0.028222341,-0.120698385,9.805866
4601,-0.026040291,-0.12038099,9.805877
4700,-0.02609845,-0.12092478,9.80587
4801,-0.026650118,-0.12330022,9.805839
4900,-0.028578509,-0.121219404,9.80586
5000,-0.024650984,-0.12442447,9.805829
5100,-0.02593585,-0.1289104,9.805769
5200,-0.026569186,-0.12850045,9.805772
5301,-0.027147302,-0.12637575,9.805799
5400,-0.026307119,-0.12578633,9.805808
5500,-0.024586115,-0.12663151,9.805802
5601,-0.020409465,-0.1228009,9.8058605
5700,-0.021823471,-0.12988544,9.805765
5800,-0.022184655,-0.12604652,9.805815
5901,-0.024646536,-0.12279172,9.80585
6000,-0.023096785,-0.12242624,9.805859
6100,-0.02290798,-0.12293058,9.805853
6201,-0.023798516,-0.12202724,9.805862
6300,-0.04715171,-0.11913967,9.805813
6400,-0.038973555,-0.12073411,9.805829
6501,-0.03832829,-0.11655099,9.805882
6600,-0.037551016,-0.118385665,9.805864
6700,-0.037131246,-0.11824161,9.805867
6800,-0.036733598,-0.12018724,9.805845
6901,-0.034887258,-0.12337154,9.805812
7000,-0.03459333,-0.12484065,9.805795
7100,-0.03436899,-0.12380017,9.805808
7201,-0.03344915,-0.121068574,9.805846
7300,-0.033268694,-0.12185455,9.805837
7400,-0.033923402,-0.12028847,9.805854
7501,-0.034143656,-0.11807292,9.80588
7600,-0.030139484,-0.120909214,9.805859
7700,-0.029151464,-0.119821884,9.805875
7800,-0.02996157,-0.11766711,9.805899
7900,-0.03068239,-0.117289424,9.805901
8001,-0.033853516,-0.11705072,9.805893
8100,-0.030709265,-0.117500134,9.805898
8200,-0.030013254,-0.119240195,9.80588
8300,-0.02804264,-0.11788945,9.805902
8400,-0.028084112,-0.11787285,9.805902
8501,-0.027117332,-0.12043692,9.805873
8600,-0.029772338,-0.12099669,9.805858
8700,-0.029902404,-0.11574274,9.805922
8800,-0.033008803,-0.11696333,9.805898
8900,-0.033578325,-0.11701707,9.805895
9001,-0.030179156,-0.119004026,9.8058815
9100,-0.029741483,-0.11548262,9.805925
9200,-0.029391872,-0.120427914,9.805867
9300,-0.02853957,-0.11887637,9.805888
9401,-0.029970357,-0.11880311,9.805885
9500,-0.02900864,-0.1201148,9.805872
9600,-0.027967768,-0.11580299,9.805926
9700,-0.026764343,-0.117721856,9.805907
9801,-0.024829714,-0.11459289,9.805949
9900,-0.024710853,-0.11256958,9.805973
10000,-0.022786826,-0.11108216,9.805995
10101,-0.02649873,-0.109596506,9.806002
10200,-0.024675578,-0.11811089,9.805908
10301,-0.024153477,-0.12304643,9.805848
10401,-0.031677686,-0.12176565,9.805843
10500,-0.028520595,-0.1269024,9.805788
10600,-0.029959103,-0.12951787,9.805749
10700,-0.033371963,-0.13347642,9.805684
10800,-0.034003817,-0.13345572,9.805683
10900,-0.03456525,-0.13217402,9.805698
11001,-0.03273168,-0.13449878,9.805673
11100,-0.034402046,-0.13680685,9.805636
11200,-0.032077663,-0.1342462,9.805678
11300,-0.034584586,-0.13152248,9.805707
11400,-0.030968435,-0.13360414,9.805691
11500,-0.031708855,-0.13049525,9.805731
11601,-0.029198969,-0.13256618,9.805711
11700,-0.027939182,-0.12737024,9.805783
11800,-0.02538274,-0.1318451,9.805731
11901,-0.023282653,-0.13327035,9.805717
12000,-0.023062285,-0.13648373,9.805673
12101,-0.023579402,-0.13757917,9.805656
12200,-0.024483921,-0.13719782,9.80566
12301,-0.025144143,-0.13507038,9.805688
12400,-0.027270887,-0.13601205,9.805669
12500,-0.028437424,-0.13995448,9.805611
12601,-0.03034699,-0.13200225,9.805715
12700,-0.032874007,-0.13062741,9.805725
12800,-0.03358698,-0.13083664,9.80572
12900,-0.03522086,-0.13347809,9.805678
13000,-0.036506463,-0.13444412,9.80566
13100,-0.035215393,-0.13200623,9.805698
13200,-0.03852901,-0.12801583,9.805738
13300,-0.03912704,-0.12589194,9.805764
13401,-0.036999885,-0.1261183,9.805769
13500,-0.038568377,-0.1254017,9.805773
13601,-0.038468413,-0.123480976,9.805798
13700,-0.03856037,-0.11941616,9.805847
13800,-0.038354754,-0.12266643,9.805808
13900,-0.037707713,-0.12110383,9.80583
14000,-0.03714337,-0.12112393,9.805832
14101,-0.035801474,-0.12050402,9.805844
14200,-0.035334364,-0.117377274,9.805883
14301,-0.03667328,-0.1161781,9.805893
14400,-0.040771257,-0.10966473,9.805952
14501,-0.041462075,-0.113050565,9.805911
14600,-0.04586998,-0.11093434,9.805916
14700,-0.046506144,-0.11070222,9.805915
14800,-0.04674968,-0.115728915,9.805856
14900,-0.046490684,-0.124028675,9.805756
15000,-0.04203515,-0.12438195,9.805772
15100,-0.044292774,-0.12164284,9.805796
15200,0.1715854,-0.0295026,9.805104
15300,0.8127586,-0.056609996,9.772748
15401,0.5786358,0.16102566,9.78824
15500,-0.52068496,0.45376113,9.782299
15600,-2.019518,0.83984387,9.559634
15700,-3.7547693,0.58939844,9.040171
15800,-3.2272227,1.4423386,9.1474085
15901,-2.6375582,1.1769049,9.371689
16000,-3.0922003,1.4998404,9.184724
16100,-2.8532422,2.329691,9.08856
16200,-2.34022,2.48096,9.194487
16300,-0.98042387,2.366622,9.466164
16400,-0.9526708,2.3607876,9.470453
16501,-1.8754002,3.8681161,8.814246
16600,-1.6125059,4.2910266,8.669331
16700,-1.6580763,5.0616393,8.234132
16801,-1.7690773,4.8996253,8.308693
16900,-1.5334219,5.1706424,8.190447
17000,-1.5458766,5.2687306,8.125336
17100,-0.9557573,5.0931897,8.325641
17201,-0.67473274,4.9553175,8.435632
17300,-0.6672741,5.084528,8.358987
