Milliseconds,X,Y,Z
4,-0.01448518,-0.059723377,-0.085264206
10,-0.020328715,-0.08909893,-0.07635784
21,-0.020328715,-0.08909893,-0.07635784
30,0.028194785,-0.06480789,-0.07657719
40,0.04229009,-0.057941437,-0.11230087
51,0.033677593,-0.04798603,-0.10536003
60,0.04579173,-0.056354523,-0.11186123
70,0.04579173,-0.056354523,-0.11186123
80,0.039124608,-0.0520072,-0.09006977
90,0.058184266,-0.05288601,-0.06460476
100,0.02252163,-0.041950703,-0.08694649
110,0.018788368,-0.049167633,-0.10706043
120,0.02691862,-0.025292873,-0.10698414
130,-0.0014739484,-0.041225433,-0.07873821
141,0.01127252,-0.045538902,-0.081427574
150,0.01127252,-0.045538902,-0.081427574
160,-0.019998685,-0.039315224,-0.0797987
170,0.0071061105,-0.056238174,-0.07972336
180,-1.1835992E-4,-0.06527901,-0.08002949
190,-0.021856949,-0.08435154,-0.046554565
200,-0.016816914,-0.070522785,-0.07019329
211,-0.02577047,-0.06574488,-0.0869627
220,-0.035308257,-0.10545206,-0.058804512
230,-0.030170605,-0.093785286,-0.06342697
240,-0.017243981,-0.10592461,-0.041804314
250,-0.017243981,-0.10592461,-0.041804314
260,-0.023735315,-0.093500614,-0.06980133
270,-0.026707232,-0.08314991,-0.07981205
280,-0.040100247,-0.08118057,-0.07857609
290,-0.010398209,-0.08700752,-0.06501484
301,-0.022115886,-0.07966995,-0.08187103
310,-0.022115886,-0.07966995,-0.08187103
320,-0.04141067,-0.084451675,-0.08325195
330,-0.022933781,-0.078035355,-0.08417034
340,-0.008791432,-0.07925558,-0.07526302
351,-0.013707697,-0.054988384,-0.09220791
360,-0.0066695362,-0.075960636,-0.06859398
370,-0.0066695362,-0.075960636,-0.06859398
380,-0.0019486547,-0.07367897,-0.07092285
390,0.0029432178,-0.056946278,-0.06372547
400,0.0042214245,-0.061556816,-0.083013535
410,0.023438603,-0.055539608,-0.101498604
420,0.02315627,-0.061071873,-0.09148502
430,0.033004597,-0.047384262,-0.110256195
441,0.0407978,-0.04330492,-0.10747051
450,0.03809373,-0.058496952,-0.09022713
460,0.008666575,-0.03432083,-0.0927372
470,0.008666575,-0.03432083,-0.0927372
480,0.013617754,-0.044654846,-0.10427666
490,-0.010800064,-0.03279543,-0.082653046
501,6.464124E-4,-0.055370808,-0.073851585
510,0.0029467344,-0.041318417,-0.08564091
520,0.02913937,-0.037454605,-0.09605789
530,0.001983583,-0.03513241,-0.06966114
540,0.014915839,-0.048738956,-0.09879112
551,0.0072832257,-0.06828165,-0.07940388
560,0.00648506,-0.033776283,-0.101498604
570,0.026749626,-0.050302982,-0.08963013
581,0.030328944,-0.030389309,-0.09721947
590,0.030328944,-0.030389309,-0.09721947
603,0.02908647,-0.040186882,-0.13303661
611,0.02908647,-0.040186882,-0.13303661
620,0.033358008,-0.05291176,-0.099069595
630,0.0253551,-0.025723934,-0.0899601
640,0.039185762,-0.043706894,-0.088228226
650,0.033884436,-0.048528194,-0.097771645
661,0.025276989,-0.053151608,-0.11937904
670,0.025276989,-0.053151608,-0.11937904
680,0.020710707,-0.040558815,-0.1005888
690,0.028104693,-0.05992031,-0.09329224
701,0.015469894,-0.057204723,-0.08627701
710,0.010771945,-0.059731483,-0.10056782
720,0.04247135,-0.05063486,-0.08115101
731,0.04639305,-0.03681183,-0.10236645
740,0.027597174,-0.074727535,-0.08584213
750,0.051168635,-0.07899666,-0.095705986
760,0.03934133,-0.06950998,-0.08608246
770,0.048783407,-0.079820156,-0.07847595
781,0.048783407,-0.079820156,-0.07847595
790,0.063134715,-0.07875776,-0.062325478
800,0.063134715,-0.07875776,-0.062325478
810,0.048125222,-0.06160736,-0.08408165
820,0.028639019,-0.042791843,-0.09824467
831,0.028639019,-0.042791843,-0.09824467
840,0.028639019,-0.042791843,-0.09824467
850,-0.006566003,-0.06062174,-0.07603741
861,-0.006566003,-0.06062174,-0.07603741
870,-0.006566003,-0.06062174,-0.07603741
880,-0.02856873,-0.05463648,-0.0719862
890,-0.022552818,-0.064567566,-0.09575558
900,-0.008566245,-0.05436802,-0.100893974
911,0.0027895719,-0.030929089,-0.095861435
920,0.0027895719,-0.030929089,-0.095861435
930,0.014637232,-0.023991108,-0.10296154
940,0.028861716,-0.05002165,-0.09116268
950,0.0018164068,-0.02886343,-0.09331322
961,-0.0254457,-0.016186237,-0.099562645
970,-0.0254457,-0.016186237,-0.099562645
980,-0.02454874,-0.017529964,-0.09402275
990,-0.056027517,-0.010057926,-0.106152534
1000,-0.055560783,-2.193451E-4,-0.099131584
1010,-0.048502162,-0.0257473,-0.10300541
1021,-0.08205767,-0.025483131,-0.08878994
1030,-0.05299349,-0.06363726,-0.076916695
1040,-0.036092833,-0.04491186,-0.10779858
1050,-0.038389936,-0.038701534,-0.1000576
1060,-0.03383562,-0.08184862,-0.08804989
1071,-0.03383562,-0.08184862,-0.08804989
1080,-0.033424273,-0.078914165,-0.059640884
1090,-0.032503203,-0.07584381,-0.09117985
1100,-0.023314238,-0.09476519,-0.06736088
1110,-0.023314238,-0.09476519,-0.06736088
1121,-0.016132876,-0.09853649,-0.07513046
1130,-0.016132876,-0.09853649,-0.07513046
1140,0.018313006,-0.0815649,-0.075273514
1151,0.018313006,-0.0815649,-0.075273514
1160,0.023229852,-0.07163048,-0.087454796
1170,0.04275742,-0.0638175,-0.10219097
1180,0.026032701,-0.07129431,-0.1044178
1190,0.035234973,-0.049657345,-0.10924721
1201,0.029948711,-0.07706642,-0.08467674
1210,0.02432108,-0.04787016,-0.09210396
1220,0.0017511696,-0.068155766,-0.08322716
1230,-0.015325576,-0.085075855,-0.07834053
1241,-0.029812649,-0.058378696,-0.0953064
1250,-0.010617405,-0.06283951,-0.07155228
1260,-0.005489245,-0.05494976,-0.074359894
1270,-0.00636822,-0.054742336,-0.05769825
1280,0.0034087896,-0.07171774,-0.076732635
1290,0.027429715,-0.056628227,-0.09391308
1301,0.044274837,-0.037826538,-0.09131813
1310,0.04828626,-0.031775475,-0.09681225
1320,0.014149159,-0.012265205,-0.11615372
1331,0.009212732,-0.014768124,-0.10890484
1340,0.021055937,-0.021493435,-0.10677147
1350,0.048842207,-0.042531967,-0.07831001
1360,0.083311826,-0.03608036,-0.0970068
1371,0.056565374,-0.04190588,-0.094005585
1380,0.056565374,-0.04190588,-0.094005585
1390,0.06614305,-0.039923668,-0.07940197
1400,0.04623495,-0.030158997,-0.09385872
1410,0.013025641,-0.012477398,-0.10636711
1421,0.0113938,-0.024581432,-0.12779617
1430,0.0113938,-0.024581432,-0.12779617
1440,0.020943135,-0.0410614,-0.11838055
1450,-0.014452085,-0.04471016,-0.07218075
1460,-0.021141574,-0.06162548,-0.0960474
1471,-0.026388526,-0.06387663,-0.07696438
1480,-5.1502883E-4,-0.052685738,-0.09326458
1490,-0.012102082,-0.05521393,-0.07883072
1500,-0.0010365695,-0.0480237,-0.07641888
1510,0.02479294,-0.06996918,-0.08814812
1521,0.03176111,-0.054569244,-0.100707054
1530,0.048250556,-0.049806595,-0.09589672
1540,0.045431897,-0.04911518,-0.10107231
1550,0.019031152,-0.06525564,-0.09184933
1561,0.021384224,-0.02604103,-0.11152363
1570,0.002299875,-0.051074028,-0.096530914
1580,-0.032786563,-0.057278156,-0.10669422
1590,-0.034942493,-0.060101986,-0.070539474
1601,-0.0330341,-0.07135868,-0.08290672
1610,-0.01128456,-0.040547848,-0.07315636
1620,0.009061635,-0.04555416,-0.09939766
1630,-0.004019305,-0.024205685,-0.080099106
1641,0.03640221,-0.022088528,-0.108662605
1650,0.02903539,-0.02836132,-0.10199928
1660,0.038522616,-0.0369215,-0.108389854
1671,0.06315279,-0.044478416,-0.08424854
1683,0.036742985,-0.04150963,-0.091760635
1690,0.036742985,-0.04150963,-0.091760635
1700,0.026816472,-0.02853012,-0.10292721
1711,0.026816472,-0.02853012,-0.10292721
1720,0.012572125,-0.052339077,-0.11019039
1730,0.004823774,-0.04851532,-0.101418495
1740,3.4298003E-4,-0.05168104,-0.0794363
1750,-0.016225532,-0.06799507,-0.06293583
1761,-0.016374141,-0.08156443,-0.06578541
1770,-0.016374141,-0.08156443,-0.06578541
1780,-0.01116693,-0.054003716,-0.083257675
1790,5.1914155E-4,-0.06752157,-0.08960724
1801,-0.022673681,-0.06424904,-0.07337093
1810,-0.017200649,-0.08154869,-0.07307911
1820,-0.014602959,-0.0620718,-0.078056335
1830,-0.0117723495,-0.053174973,-0.086236954
1840,-0.0142624825,-0.07058239,-0.07867718
1851,-0.048304453,-0.057986736,-0.09338856
1860,-0.03632444,-0.054802418,-0.07469082
1870,-0.033838406,-0.07116413,-0.07731438
1880,-0.013739184,-0.04555416,-0.084103584
1890,0.012417227,-0.038094997,-0.101017
1901,0.012738571,-0.043566704,-0.0934515
1910,0.01940839,-0.036536217,-0.10059261
1920,-0.006596476,-0.053424835,-0.090950966
1930,0.008309722,-0.05821657,-0.069413185
1940,-0.007197514,-0.06098175,-0.08593273
1950,-0.040657297,-0.048644543,-0.0717783
1960,-0.024986267,-0.07422733,-0.07224369
1970,-0.026334971,-0.08006525,-0.08124447
1980,-0.019012734,-0.069951534,-0.0791626
1990,-0.01395604,-0.06835365,-0.0739212
2000,-0.008905336,-0.06509781,-0.06723976
2010,-0.03314048,-0.057486534,-0.103393555
2021,-0.013440058,-0.039887905,-0.087127686
2030,8.5181E-4,-0.05372286,-0.056305885
2040,-0.03257774,-0.054347992,-0.082286835
2050,-0.025069192,-0.05922556,-0.08463764
2061,-0.0060793906,-0.06938505,-0.07472229
2070,0.0028534234,-0.041715622,-0.092232704
2080,-0.006846145,-0.068259716,-0.077744484
2090,-0.024139136,-0.06230402,-0.06882477
2100,-0.0107521415,-0.044378757,-0.08964157
2111,-0.04439883,-0.062001705,-0.10488224
2120,-0.02021131,-0.0647521,-0.080742836
2130,0.00659582,-0.052295208,-0.08821678
2140,0.025919825,-0.042134285,-0.09813213
2151,0.018262953,-0.035135746,-0.09082985
2160,0.020851865,-0.044529915,-0.09573078
2170,0.027878925,-0.04465103,-0.10044384
2180,0.020215034,-0.04653263,-0.11509323
2190,0.014923364,-0.03475523,-0.09820938
2201,0.0023608953,-0.03532505,-0.095472336
2210,-0.019105747,-0.02335596,-0.09308052
2220,-5.00381E-5,-0.033166885,-0.10251999
2230,0.022934228,-0.017569065,-0.09362602
2240,0.034825817,-0.03609276,-0.10116768
2251,0.03153956,-0.016788006,-0.11559677
2260,0.029136226,-0.040831566,-0.10356808
2270,0.05263184,-0.03297949,-0.08957386
2280,0.056999817,-0.036132336,-0.093919754
2291,0.060791895,-0.04123783,-0.093709946
2300,0.036672607,-0.046198845,-0.09121132
2310,0.019167274,-0.036758423,-0.1150589
2320,-0.010479674,-0.06515646,-0.06973553
2330,-0.025327116,-0.05317211,-0.08409405
2341,-0.03493738,-0.052259445,-0.08222294
2350,-0.027011916,-0.0423913,-0.08240986
2360,-0.027463466,-0.05341482,-0.098329544
2370,0.005375266,-0.04778099,-0.08921814
2380,-0.0034137517,-0.01772976,-0.10538387
2391,0.025347501,-0.016693592,-0.11794853
2400,0.042307198,-0.037311554,-0.10514164
2410,0.049310148,-0.045194626,-0.08558369
2420,0.018414408,-0.07393026,-0.085585594
