Milliseconds,X,Y,Z
3,23.0,-33.600002,-50.0
100,22.9,-33.5,-49.9
201,23.1,-33.600002,-49.7
300,23.2,-33.7,-49.600002
400,23.2,-33.9,-49.600002
500,23.1,-34.0,-49.7
601,22.9,-34.100002,-49.9
701,22.2,-34.2,-50.5
801,21.300001,-34.3,-51.2
900,20.7,-34.4,-52.100002
1000,20.5,-34.600002,-52.2
1101,20.6,-34.7,-52.2
1200,20.5,-34.8,-52.3
1300,20.300001,-34.9,-52.3
1400,20.2,-35.0,-52.3
1500,20.1,-35.100002,-52.2
1601,20.1,-35.100002,-52.2
1702,20.0,-35.100002,-52.2
1800,20.1,-35.0,-52.3
1900,20.0,-35.100002,-52.3
2000,20.0,-35.100002,-52.4
2101,20.0,-35.100002,-52.100002
2201,20.0,-35.0,-52.100002
2300,20.2,-35.100002,-52.3
2401,20.1,-35.100002,-52.3
2500,20.2,-35.100002,-52.100002
2600,20.2,-35.2,-51.8
2700,20.2,-35.100002,-51.9
2800,20.1,-35.0,-52.100002
2900,20.0,-34.9,-52.3
3001,20.0,-34.8,-52.2
3100,20.0,-34.8,-52.2
3200,20.2,-34.8,-52.3
3300,20.2,-34.8,-52.4
3400,20.1,-34.7,-52.3
3500,20.2,-34.7,-52.5
3601,20.300001,-34.7,-52.4
3700,20.300001,-34.600002,-52.3
3800,20.300001,-34.5,-52.2
3900,20.4,-34.4,-52.4
4000,20.5,-34.2,-52.5
4100,20.7,-34.2,-52.4
4201,20.800001,-34.100002,-52.3
4300,20.800001,-34.100002,-52.4
4400,20.7,-34.100002,-52.5
4500,20.7,-34.100002,-52.5
4600,20.7,-34.100002,-52.3
4701,20.7,-34.0,-52.2
4800,20.7,-33.9,-52.100002
4900,20.7,-33.7,-52.0
5000,20.6,-33.8,-52.0
5100,20.6,-33.9,-52.0
5200,20.7,-33.9,-52.4
5300,20.800001,-33.7,-52.8
5401,20.800001,-33.600002,-52.7
5500,20.800001,-33.600002,-52.600002
5600,20.9,-33.600002,-52.4
5700,21.1,-33.5,-52.5
5800,21.2,-33.5,-52.4
5901,21.2,-33.4,-52.600002
6000,21.1,-33.3,-52.8
6100,21.0,-33.3,-52.7
6200,20.9,-33.3,-52.4
6300,20.7,-33.3,-52.3
6400,20.7,-33.3,-52.4
6501,20.9,-33.4,-52.4
6600,21.0,-33.4,-52.2
6700,21.1,-33.3,-52.100002
6800,21.2,-33.2,-51.9
6900,21.2,-33.2,-52.2
7000,21.2,-33.100002,-52.3
7101,21.300001,-33.100002,-52.4
7201,21.300001,-33.100002,-52.2
7300,21.4,-33.100002,-52.100002
7400,21.4,-33.2,-51.9
7500,21.4,-33.100002,-52.100002
7600,21.4,-33.100002,-52.100002
7701,21.300001,-33.0,-52.3
7800,21.300001,-32.9,-52.3
7900,21.300001,-32.9,-52.5
8000,21.2,-33.0,-52.5
8100,21.2,-33.0,-52.5
8201,21.4,-33.0,-52.5
8300,21.5,-32.9,-52.4
8400,21.6,-32.9,-52.3
8500,21.4,-33.0,-52.2
8600,21.5,-33.100002,-52.4
8700,21.5,-33.0,-52.3
8801,21.6,-33.0,-52.2
8900,21.6,-33.0,-52.0
9000,21.6,-33.0,-52.2
9100,21.7,-33.0,-52.100002
9200,21.6,-32.9,-52.2
9300,21.7,-32.8,-52.100002
9401,21.6,-32.7,-52.100002
9500,21.6,-32.8,-51.9
9600,21.6,-32.8,-52.0
9700,21.5,-32.8,-52.0
9800,21.4,-32.7,-51.9
9901,21.300001,-32.7,-51.8
10000,21.4,-32.5,-51.600002
10100,21.4,-32.5,-51.5
10200,21.5,-32.3,-51.4
10300,21.5,-32.3,-51.600002
10401,21.7,-32.3,-51.600002
10500,21.800001,-32.5,-51.8
10600,21.9,-32.5,-52.0
10700,21.800001,-32.5,-52.3
10800,21.7,-32.5,-52.100002
10900,21.7,-32.5,-52.100002
11001,21.7,-32.5,-52.2
11100,21.7,-32.5,-52.2
11200,21.7,-32.600002,-52.0
11300,21.7,-32.600002,-51.8
11400,21.800001,-32.600002,-51.9
11500,21.800001,-32.5,-52.0
11602,21.800001,-32.600002,-52.0
11700,21.6,-32.600002,-52.100002
11800,21.7,-32.600002,-52.3
11900,21.800001,-32.600002,-52.2
12000,21.9,-32.600002,-52.0
12101,21.800001,-32.7,-51.9
12200,21.9,-32.7,-51.9
12300,21.800001,-32.7,-52.100002
12400,21.800001,-32.600002,-52.3
12500,21.800001,-32.600002,-52.2
12601,21.7,-32.600002,-52.100002
12700,21.800001,-32.7,-51.8
12800,21.800001,-32.7,-52.0
12900,21.9,-32.600002,-52.0
13000,21.9,-32.5,-52.100002
13101,22.0,-32.5,-52.100002
13200,21.9,-32.5,-52.100002
13300,21.9,-32.600002,-52.100002
13400,21.800001,-32.600002,-51.9
13500,21.9,-32.600002,-51.9
13600,22.0,-32.5,-51.9
13700,22.1,-32.4,-52.0
13801,22.300001,-32.4,-51.9
13900,22.1,-32.4,-51.9
14000,21.9,-32.4,-51.9
14100,21.800001,-32.5,-51.9
