Milliseconds,Latitude,Longitude,Altitude
1,54.9475947,24.007946,112.88194425115852
101,54.9475947,24.007946,112.88194425115852
201,54.9475947,24.007946,112.88194425115852
301,54.9475947,24.007946,112.88194425115852
401,54.9475947,24.007946,112.88194425115852
502,54.9475947,24.007946,112.88194425115852
601,54.9475947,24.007946,112.88194425115852
701,54.9475947,24.007946,112.88194425115852
801,54.9475947,24.007946,112.88194425115852
902,54.9475947,24.007946,112.88194425115852
1003,54.9475951,24.0079445,112.88161277033925
1101,54.9475951,24.0079445,112.88161277033925
1201,54.9475951,24.0079445,112.88161277033925
1301,54.9475951,24.0079445,112.88161277033925
1401,54.9475951,24.0079445,112.88161277033925
1502,54.9475951,24.0079445,112.88161277033925
1601,54.9475951,24.0079445,112.88161277033925
1701,54.9475951,24.0079445,112.88161277033925
1801,54.9475951,24.0079445,112.88161277033925
1902,54.9475951,24.0079445,112.88161277033925
2002,54.9475953,24.0079435,112.88128302739514
2101,54.9475953,24.0079435,112.88128302739514
2201,54.9475953,24.0079435,112.88128302739514
2301,54.9475953,24.0079435,112.88128302739514
2401,54.9475953,24.0079435,112.88128302739514
2501,54.9475953,24.0079435,112.88128302739514
2602,54.9475953,24.0079435,112.88128302739514
2701,54.9475953,24.0079435,112.88128302739514
2801,54.9475953,24.0079435,112.88128302739514
2901,54.9475953,24.0079435,112.88128302739514
3001,54.9475956,24.0079424,112.88095252154535
3102,54.9475956,24.0079424,112.88095252154535
3201,54.9475956,24.0079424,112.88095252154535
3301,54.9475956,24.0079424,112.88095252154535
3401,54.9475956,24.0079424,112.88095252154535
3502,54.9475956,24.0079424,112.88095252154535
3601,54.9475956,24.0079424,112.88095252154535
3701,54.9475956,24.0079424,112.88095252154535
3801,54.9475956,24.0079424,112.88095252154535
3901,54.9475956,24.0079424,112.88095252154535
4001,54.9475961,24.0079411,112.88061969409058
4102,54.9475961,24.0079411,112.88061969409058
4201,54.9475961,24.0079411,112.88061969409058
4301,54.9475961,24.0079411,112.88061969409058
4401,54.9475961,24.0079411,112.88061969409058
4501,54.9475961,24.0079411,112.88061969409058
4602,54.9475961,24.0079411,112.88061969409058
4701,54.9475961,24.0079411,112.88061969409058
4801,54.9475961,24.0079411,112.88061969409058
4901,54.9475961,24.0079411,112.88061969409058
5003,54.9475965,24.0079397,112.88028365255913
5101,54.9475965,24.0079397,112.88028365255913
5201,54.9475965,24.0079397,112.88028365255913
5306,54.9475965,24.0079397,112.88028365255913
5401,54.9475965,24.0079397,112.88028365255913
5501,54.9475965,24.0079397,112.88028365255913
5601,54.9475965,24.0079397,112.88028365255913
5701,54.9475965,24.0079397,112.88028365255913
5802,54.9475965,24.0079397,112.88028365255913
5901,54.9475965,24.0079397,112.88028365255913
6001,54.9475971,24.0079383,112.87994489124057
6101,54.9475971,24.0079383,112.87994489124057
6204,54.9475971,24.0079383,112.87994489124057
6301,54.9475971,24.0079383,112.87994489124057
6401,54.9475971,24.0079383,112.87994489124057
6501,54.9475971,24.0079383,112.87994489124057
6601,54.9475971,24.0079383,112.87994489124057
6702,54.9475971,24.0079383,112.87994489124057
6801,54.9475971,24.0079383,112.87994489124057
6901,54.9475971,24.0079383,112.87994489124057
7002,54.9475975,24.0079371,112.87960444098358
7101,54.9475975,24.0079371,112.87960444098358
7201,54.9475975,24.0079371,112.87960444098358
7302,54.9475975,24.0079371,112.87960444098358
7401,54.9475975,24.0079371,112.87960444098358
7501,54.9475975,24.0079371,112.87960444098358
7602,54.9475975,24.0079371,112.87960444098358
7701,54.9475975,24.0079371,112.87960444098358
7802,54.9475975,24.0079371,112.87960444098358
7902,54.9475975,24.0079371,112.87960444098358
8002,54.9475975,24.0079371,112.87960444098358
8101,54.947598,24.0079359,112.87926179933542
8202,54.947598,24.0079359,112.87926179933542
8321,54.947598,24.0079359,112.87926179933542
8402,54.947598,24.0079359,112.87926179933542
8501,54.947598,24.0079359,112.87926179933542
8602,54.947598,24.0079359,112.87926179933542
8701,54.947598,24.0079359,112.87926179933542
8801,54.947598,24.0079359,112.87926179933542
8903,54.947598,24.0079359,112.87926179933542
9003,54.9475985,24.0079349,112.8789216357431
9101,54.9475985,24.0079349,112.8789216357431
9201,54.9475985,24.0079349,112.8789216357431
9302,54.9475985,24.0079349,112.8789216357431
9401,54.9475985,24.0079349,112.8789216357431
9501,54.9475985,24.0079349,112.8789216357431
9601,54.9475985,24.0079349,112.8789216357431
9702,54.9475985,24.0079349,112.8789216357431
9801,54.9475985,24.0079349,112.8789216357431
9901,54.9475985,24.0079349,112.8789216357431
10001,54.947599,24.0079337,112.87858089208483
10101,54.947599,24.0079337,112.87858089208483
10202,54.947599,24.0079337,112.87858089208483
10301,54.947599,24.0079337,112.87858089208483
10406,54.947599,24.0079337,112.87858089208483
10501,54.947599,24.0079337,112.87858089208483
10601,54.947599,24.0079337,112.87858089208483
10701,54.947599,24.0079337,112.87858089208483
10801,54.947599,24.0079337,112.87858089208483
10902,54.947599,24.0079337,112.87858089208483
11001,54.9475995,24.0079323,112.87823319768306
11101,54.9475995,24.0079323,112.87823319768306
11201,54.9475995,24.0079323,112.87823319768306
11301,54.9475995,24.0079323,112.87823319768306
11402,54.9475995,24.0079323,112.87823319768306
11503,54.9475995,24.0079323,112.87823319768306
11604,54.9475995,24.0079323,112.87823319768306
11701,54.9475995,24.0079323,112.87823319768306
11804,54.9475995,24.0079323,112.87823319768306
11904,54.9475995,24.0079323,112.87823319768306
12001,54.9475999,24.0079308,112.87787752160533
12102,54.9475999,24.0079308,112.87787752160533
12201,54.9475999,24.0079308,112.87787752160533
12301,54.9475999,24.0079308,112.87787752160533
12402,54.9475999,24.0079308,112.87787752160533
12501,54.9475999,24.0079308,112.87787752160533
12602,54.9475999,24.0079308,112.87787752160533
12701,54.9475999,24.0079308,112.87787752160533
12801,54.9475999,24.0079308,112.87787752160533
12901,54.9475999,24.0079308,112.87787752160533
13001,54.9476002,24.0079289,112.87750205110964
13102,54.9476002,24.0079289,112.87750205110964
13201,54.9476002,24.0079289,112.87750205110964
13301,54.9476002,24.0079289,112.87750205110964
13402,54.9476002,24.0079289,112.87750205110964
13501,54.9476002,24.0079289,112.87750205110964
