Milliseconds,Millibars
6,1007.4978
100,1007.45215
200,1007.4502
300,1007.4475
400,1007.4497
501,1007.45654
600,1007.46313
700,1007.46387
802,1007.459
900,1007.46875
1001,1007.46875
1100,1007.4575
1200,1007.43726
1300,1007.4429
1402,1007.4551
1500,1007.46313
1600,1007.46387
1700,1007.4592
1800,1007.4612
1901,1007.45605
2000,1007.44653
2100,1007.44336
2201,1007.4346
2300,1007.4419
2400,1007.4485
2500,1007.45996
2600,1007.4678
2700,1007.46924
2801,1007.47095
2900,1007.4695
3000,1007.4678
3100,1007.46924
3200,1007.4668
3301,1007.46265
3400,1007.4641
3500,1007.4695
3600,1007.4656
3700,1007.4612
3800,1007.45166
3900,1007.45825
4001,1007.44507
4100,1007.4453
4200,1007.4458
4300,1007.4429
4400,1007.44214
4501,1007.4541
4600,1007.4724
4700,1007.4734
4800,1007.4734
4900,1007.4673
5002,1007.4624
5100,1007.4404
5201,1007.4292
5301,1007.4409
5407,1007.4426
5500,1007.4512
5600,1007.4585
5700,1007.4551
5801,1007.4487
5900,1007.438
6000,1007.4309
6102,1007.4253
6200,1007.4192
6300,1007.426
6401,1007.43726
6500,1007.4487
6600,1007.4502
6700,1007.4426
6800,1007.44434
6901,1007.438
7000,1007.4275
7101,1007.42896
7200,1007.4243
7301,1007.42676
7400,1007.43945
7501,1007.4458
7600,1007.4563
7700,1007.45703
7800,1007.46436
7900,1007.4558
8001,1007.45605
8101,1007.4497
8200,1007.45264
8321,1007.46045
8402,1007.46094
8500,1007.46875
8600,1007.47314
8701,1007.47656
8800,1007.46704
8901,1007.4656
9001,1007.45483
9100,1007.45044
9201,1007.449
9300,1007.45044
9400,1007.44727
9501,1007.4536
9600,1007.45386
9700,1007.46094
9802,1007.4619
9900,1007.4651
10001,1007.4575
10100,1007.44214
10200,1007.4446
10301,1007.4429
10404,1007.4514
10500,1007.45557
10600,1007.4675
10700,1007.47534
10801,1007.4783
10901,1007.4707
11001,1007.4668
11100,1007.4475
11200,1007.4441
11301,1007.4448
11400,1007.4568
11501,1007.46826
11602,1007.47363
11700,1007.46436
11802,1007.4658
11902,1007.45874
12003,1007.4507
12100,1007.43506
12200,1007.4424
12300,1007.43994
12400,1007.4507
12501,1007.46094
12600,1007.46924
12700,1007.46484
12802,1007.45825
12900,1007.4551
13001,1007.4546
13101,1007.4458
13200,1007.4468
13300,1007.4426
13400,1007.45386
13500,1007.4492
13600,1007.4634
13700,1007.46387
13801,1007.46826
13900,1007.46826
14003,1007.47754
14101,1007.47705
14200,1007.4883
14300,1007.4883
14400,1007.5012
14501,1007.5012
14600,1007.5139
14700,1007.51245
14800,1007.51416
14900,1007.5088
15000,1007.49316
15101,1007.4949
15200,1007.48755
15300,1007.4758
15400,1007.468
15500,1007.4668
15600,1007.47925
15701,1007.47534
15800,1007.46655
15900,1007.45264
16002,1007.4519
16100,1007.4392
16200,1007.44116
16300,1007.45044
16401,1007.45044
16501,1007.46216
16600,1007.4658
16701,1007.46875
16800,1007.47485
16901,1007.479
17000,1007.4807
17100,1007.47974
17200,1007.48413
17300,1007.4927
17400,1007.4961
17500,1007.49805
17601,1007.5034
17700,1007.5032
17800,1007.499
17901,1007.4912
18001,1007.48486
18100,1007.4778
18200,1007.46875
18301,1007.4678
18400,1007.46924
18500,1007.4741
18600,1007.47266
18700,1007.4756
18802,1007.47314
18900,1007.46875
19000,1007.4641
19100,1007.4641
19201,1007.46387
19301,1007.45825
19400,1007.4602
19500,1007.4614
19601,1007.4751
19702,1007.4751
19801,1007.4678
19900,1007.46826
20001,1007.4641
20100,1007.4553
20201,1007.45605
20300,1007.45166
20400,1007.45654
20500,1007.46436
20600,1007.47314
20700,1007.4734
20801,1007.4751
20900,1007.4658
21001,1007.4651
21100,1007.4512
21201,1007.4492
21300,1007.4463
21401,1007.4575
21500,1007.46094
21600,1007.4658
21700,1007.46216
21800,1007.47046
21900,1007.4651
22001,1007.4524
22100,1007.44995
22200,1007.4558
22300,1007.459
22401,1007.46313
22500,1007.46704
22600,1007.4773
22700,1007.4663
22800,1007.4656
22901,1007.46704
23000,1007.4612
23107,1007.4453
23201,1007.44946
23300,1007.45264
23400,1007.4419
23501,1007.4453
23600,1007.45435
23700,1007.4551
23801,1007.4536
23900,1007.4507
24001,1007.4429
24100,1007.437
24200,1007.43896
24300,1007.43896
24402,1007.44336
24500,1007.4568
24600,1007.46606
24701,1007.4717
24800,1007.4707
24900,1007.46216
25000,1007.4614
25101,1007.45605
25200,1007.4658
25300,1007.47705
25401,1007.478
25500,1007.47754
25601,1007.48193
25701,1007.47705
25800,1007.4685
25900,1007.46655
26000,1007.4597
26102,1007.45776
26200,1007.4585
26300,1007.4519
26401,1007.45386
26500,1007.4597
26600,1007.4651
26700,1007.4695
26800,1007.4729
26901,1007.46924
27000,1007.46924
27100,1007.45215
27200,1007.449
27301,1007.4529
27400,1007.4529
27500,1007.45996
27600,1007.4675
27700,1007.4619
27801,1007.4575
27900,1007.4448
28000,1007.4475
28100,1007.4319
28201,1007.43335
28300,1007.4365
28400,1007.44775
28501,1007.4619
28600,1007.4658
28701,1007.46533
28800,1007.4624
28900,1007.46265
29000,1007.4553
29100,1007.4553
29201,1007.4595
29300,1007.4553
29400,1007.4619
29504,1007.46436
29600,1007.4695
29700,1007.4695
29800,1007.46484
29900,1007.4612
30001,1007.45874
30101,1007.45264
30200,1007.4558
30301,1007.45874
30400,1007.46387
30500,1007.46313
30601,1007.47754
30700,1007.47314
30800,1007.479
30900,1007.47363
31003,1007.4607
31100,1007.46484
31200,1007.4514
31300,1007.4502
31401,1007.45435
31500,1007.4429
31600,1007.4392
31700,1007.4346
31802,1007.4404
31900,1007.43555
32001,1007.437
32100,1007.42163
32202,1007.4226
32300,1007.42944
32401,1007.4263
32500,1007.43384
32600,1007.4485
32700,1007.4624
32801,1007.48
32900,1007.4773
33000,1007.47534
33101,1007.4634
33201,1007.4685
33300,1007.47974
33400,1007.48
33500,1007.47144
33601,1007.4436
33700,1007.4348
33800,1007.42676
33900,1007.4175
34001,1007.3948
34100,1007.3899
34200,1007.39575
34300,1007.3838
34401,1007.3794
34500,1007.36914
34600,1007.3616
34700,1007.3611
34801,1007.3845
34900,1007.4043
35000,1007.4121
35100,1007.4153
35201,1007.41455
35300,1007.42114
35400,1007.4143
35500,1007.416
35600,1007.42163
35700,1007.42993
35800,1007.43384
35900,1007.4324
36000,1007.43506
36100,1007.42505
36201,1007.4214
36300,1007.4282
36400,1007.42334
36501,1007.4231
36600,1007.42725
36701,1007.4341
36801,1007.4309
36903,1007.4282
37000,1007.4253
37100,1007.4275
37201,1007.43555
37300,1007.4341
37402,1007.4287
37501,1007.43555
37600,1007.42944
37700,1007.42773
37802,1007.4253
37901,1007.42505
38000,1007.4241
38101,1007.4375
38200,1007.4319
38300,1007.4287
38400,1007.4363
38501,1007.4253
38603,1007.4297
38700,1007.4287
38800,1007.42993
38900,1007.42773
39001,1007.42554
39100,1007.42944
39200,1007.4087
39300,1007.39966
39400,1007.3982
39501,1007.41235
39600,1007.4048
39700,1007.40845
39800,1007.43555
39901,1007.45386
40000,1007.4597
40100,1007.4597
40205,1007.48
40300,1007.4878
40401,1007.48267
40500,1007.4966
40600,1007.50146
40701,1007.49927
40800,1007.4922
40901,1007.4944
41001,1007.46436
41100,1007.4712
41201,1007.44604
41302,1007.4617
41401,1007.479
41501,1007.4446
41600,1007.4331
41701,1007.44727
41800,1007.4475
41900,1007.43726
42000,1007.43994
42101,1007.4319
42200,1007.4265
42301,1007.4148
42400,1007.38086
42500,1007.3855
42601,1007.365
42700,1007.36255
42801,1007.3533
42900,1007.36646
43002,1007.36597
43100,1007.3611
43201,1007.3677
43300,1007.3662
43400,1007.3823
43501,1007.39575
43601,1007.40967
43700,1007.4397
43801,1007.426
43900,1007.4177
44001,1007.41797
44100,1007.4314
44201,1007.4314
44300,1007.4314
44400,1007.42554
44501,1007.43555
44600,1007.4292
44701,1007.4136
44800,1007.4114
44900,1007.40234
45007,1007.3921
45101,1007.40137
45200,1007.4175
45300,1007.4182
45401,1007.4131
45500,1007.40186
45600,1007.3933
45701,1007.40063
45800,1007.4009
45900,1007.3906
46002,1007.3889
46100,1007.38306
46200,1007.3911
46301,1007.41284
46400,1007.4153
46500,1007.3921
46601,1007.3916
46700,1007.39233
46800,1007.40015
46900,1007.42017
47001,1007.42017
47101,1007.43726
47200,1007.4492
47300,1007.4407
47401,1007.4636
47501,1007.4553
47600,1007.4436
47700,1007.4326
47801,1007.449
47900,1007.44385
48000,1007.44385
48100,1007.428
48201,1007.42236
48300,1007.4243
48400,1007.4155
48501,1007.43896
48600,1007.4492
48700,1007.4507
48800,1007.45776
48901,1007.46045
49000,1007.48047
49100,1007.479
49200,1007.4895
49300,1007.4868
49401,1007.4961
49500,1007.51074
49600,1007.4785
49700,1007.48364
49802,1007.4851
49900,1007.4973
50000,1007.4822
50102,1007.46924
50200,1007.47485
50300,1007.4756
50401,1007.4783
50500,1007.5083
50601,1007.4907
50700,1007.4646
50801,1007.46533
50901,1007.47046
51000,1007.46655
51100,1007.4446
51200,1007.43677
51300,1007.43677
51400,1007.4524
51500,1007.4336
51601,1007.4365
51700,1007.41284
51800,1007.4153
51900,1007.4568
52000,1007.4568
52101,1007.46655
52200,1007.4861
52300,1007.48706
52400,1007.4863
52501,1007.4973
52600,1007.5017
52700,1007.50024
52800,1007.50244
52901,1007.50195
53000,1007.50195
53100,1007.4866
53200,1007.4807
53301,1007.4812
53400,1007.4668
53500,1007.45605
53601,1007.4519
53700,1007.4497
53800,1007.4597
53900,1007.4783
54000,1007.46826
54101,1007.45825
54200,1007.50464
54300,1007.5022
54400,1007.5132
54501,1007.5215
54600,1007.5139
54700,1007.5183
54800,1007.5376
54900,1007.531
55001,1007.531
55100,1007.5193
55200,1007.49243
55301,1007.5012
55400,1007.51074
55500,1007.4917
55600,1007.49
55700,1007.4724
55801,1007.47925
55900,1007.4839
56000,1007.4839
56100,1007.47095
56201,1007.40234
56300,1007.397
56400,1007.3967
56501,1007.3994
56600,1007.38257
56700,1007.3574
56800,1007.35864
56901,1007.3601
57001,1007.3523
57100,1007.34375
57200,1007.3386
57301,1007.36475
57400,1007.407
57500,1007.41943
57603,1007.4243
57701,1007.42163
57800,1007.42163
57900,1007.4348
58000,1007.4448
58101,1007.4404
58200,1007.44434
58300,1007.4446
58400,1007.4519
58501,1007.4531
58600,1007.438
58701,1007.4263
58800,1007.4512
58900,1007.45483
59001,1007.4563
