Milliseconds,Degrees
0,0.0
101,0.0
200,0.0
300,0.0
400,0.0
500,0.0
601,0.0
700,0.0
800,0.0
900,0.0
1001,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1601,0.0
1700,0.0
1800,0.0
1900,0.0
2002,0.0
2100,0.0
2200,0.0
2301,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2801,0.0
2900,0.0
3001,0.0
3100,0.0
3200,0.0
3300,0.0
3400,0.0
3501,0.0
3600,0.0
3700,0.0
3800,0.0
3900,0.0
4001,0.0
4100,0.0
4200,0.0
4300,0.0
4400,0.0
4501,0.0
4600,0.0
4700,0.0
4800,0.0
4900,0.0
5000,0.0
5101,0.0
5200,0.0
5300,0.0
5401,0.0
5500,0.0
5600,0.0
5700,0.0
5800,0.0
5901,0.0
6000,0.0
6100,0.0
6200,0.0
6300,0.0
6400,0.0
6501,0.0
6600,0.0
6700,0.0
6801,0.0
6900,0.0
7063,0.0
7100,0.0
7200,0.0
7301,0.0
7400,0.0
7500,0.0
7601,0.0
7700,0.0
7800,0.0
7900,0.0
8001,0.0
8100,0.0
8200,0.0
8300,0.0
8400,0.0
8501,0.0
8600,0.0
8700,0.0
8801,0.0
8900,0.0
9000,0.0
9101,0.0
9200,0.0
9300,0.0
9401,0.0
9500,0.0
9600,0.0
9700,0.0
9801,0.0
9900,0.0
10000,0.0
10100,0.0
10201,0.0
10300,0.0
10400,0.0
10500,0.0
10600,0.0
10700,0.0
10801,0.0
10900,0.0
11000,0.0
11100,0.0
11200,0.0
11300,0.0
11401,0.0
11500,0.0
11601,0.0
11700,0.0
11800,0.0
11901,0.0
12000,0.0
12100,0.0
12200,0.0
12300,0.0
12401,0.0
12500,0.0
12600,0.0
12700,0.0
12800,0.0
12901,0.0
13001,0.0
13100,0.0
13200,0.0
13301,0.0
13400,0.0
13500,0.0
13601,0.0
13703,0.0
13800,0.0
13900,0.0
14001,0.0
14100,0.0
14200,0.0
14300,0.0
14401,0.0
14500,0.0
14600,0.0
14701,0.0
14800,0.0
14900,0.0
15000,0.0
15100,0.0
15201,0.0
15300,0.0
15400,0.0
15500,0.0
15601,0.0
15700,0.0
15801,0.0
15900,0.0
16000,0.0
16101,0.0
16200,0.0
16301,0.0
16400,0.0
16500,0.0
16601,0.0
16700,0.0
16801,0.0
16900,0.0
17000,0.0
17101,0.0
17200,0.0
17300,0.0
17401,0.0
17500,0.0
17600,0.0
17702,0.0
17800,0.0
17901,0.0
18000,0.0
18100,0.0
18201,0.0
18300,0.0
18400,0.0
18500,0.0
18600,0.0
18700,0.0
18801,0.0
18900,0.0
19000,0.0
19102,0.0
19200,0.0
19300,0.0
19400,0.0
19500,0.0
19601,0.0
19700,0.0
19800,0.0
19901,0.0
20000,0.0
20100,0.0
20201,0.0
20302,0.0
20400,0.0
20500,0.0
20601,0.0
20700,0.0
20800,0.0
20901,0.0
21000,0.0
21100,0.0
21200,0.0
21301,0.0
21400,0.0
21500,0.0
21600,0.0
21701,0.0
21800,0.0
21901,0.0
22000,0.0
22100,0.0
22200,0.0
22301,0.0
22400,0.0
22500,0.0
22600,0.0
22701,0.0
22800,0.0
22900,0.0
23000,0.0
23101,0.0
23200,0.0
23300,0.0
23400,0.0
23501,0.0
23600,0.0
23700,0.0
23801,0.0
23900,0.0
24000,0.0
24100,0.0
24200,0.0
24300,0.0
24401,0.0
24500,0.0
24601,0.0
24700,0.0
24800,0.0
24900,0.0
25001,0.0
25100,0.0
25201,0.0
25300,0.0
25400,0.0
25500,0.0
25602,0.0
25700,0.0
25800,0.0
25901,0.0
26000,0.0
26100,0.0
26201,0.0
26302,0.0
26401,0.0
26500,0.0
26600,0.0
26700,0.0
26801,0.0
26900,0.0
27003,0.0
27101,0.0
27200,0.0
27300,0.0
27400,0.0
27501,0.0
27600,0.0
27700,0.0
27801,0.0
27900,0.0
28000,0.0
28100,0.0
28201,0.0
28300,0.0
28400,0.0
28500,0.0
28600,0.0
28701,0.0
28800,0.0
28900,0.0
29001,0.0
29100,0.0
29200,0.0
29300,0.0
29402,0.0
29500,0.0
29600,0.0
29700,0.0
29800,0.0
29901,0.0
30000,0.0
30100,0.0
30200,0.0
30301,0.0
30400,0.0
30500,0.0
30602,0.0
30700,0.0
30800,0.0
30900,0.0
31001,0.0
31100,0.0
31200,0.0
31300,0.0
31402,0.0
31501,0.0
31601,0.0
31700,0.0
31800,0.0
31901,0.0
32000,0.0
32100,0.0
32200,0.0
32301,0.0
32400,0.0
32500,0.0
32601,0.0
32700,0.0
32800,0.0
32900,0.0
33000,0.0
33101,0.0
33200,0.0
33300,0.0
33400,0.0
33501,0.0
33601,0.0
33700,0.0
33800,0.0
33900,0.0
34000,0.0
34101,0.0
34200,0.0
34300,0.0
34400,0.0
34501,0.0
34602,0.0
34700,0.0
34800,0.0
34900,0.0
35001,0.0
35100,0.0
35201,0.0
35300,0.0
35400,0.0
35500,0.0
35600,0.0
35700,0.0
35800,0.0
35900,0.0
36000,0.0
36101,0.0
36200,0.0
36300,0.0
36400,0.0
36501,0.0
36600,0.0
36700,0.0
36800,0.0
36900,0.0
37001,0.0
37100,0.0
37201,0.0
37300,0.0
37400,0.0
37501,0.0
37600,0.0
37700,0.0
37801,0.0
37901,0.0
38000,0.0
38100,0.0
38200,0.0
38301,0.0
38400,0.0
38500,0.0
38600,0.0
38701,0.0
38800,0.0
38900,0.0
39000,0.0
39100,0.0
39200,0.0
39301,0.0
39400,0.0
39500,0.0
39600,0.0
39703,0.0
39800,0.0
39901,0.0
40000,0.0
40100,0.0
40201,0.0
40302,0.0
40400,0.0
40500,0.0
40601,0.0
40700,0.0
40800,0.0
40900,0.0
41000,0.0
41101,0.0
41200,0.0
41300,0.0
41400,0.0
41500,0.0
41601,0.0
41700,0.0
41801,0.0
41900,0.0
42000,0.0
42100,0.0
42201,0.0
42300,0.0
42400,0.0
42500,0.0
42600,0.0
42700,0.0
42801,0.0
42900,0.0
43000,0.0
43100,0.0
43200,0.0
