Milliseconds,X,Y,Z
0,-0.010995574,-0.012217305,-0.009773844
10,0.002443461,0.0061086523,-0.0061086523
20,-0.010995574,0.002443461,0.0036651916
30,-0.012217305,-0.0036651916,-0.010995574
41,-0.019547688,-0.002443461,-0.0036651916
50,-0.02321288,-0.0036651916,0.0012217305
60,-0.008552114,0.0,0.0012217305
70,0.004886922,-0.002443461,0.012217305
80,-0.008552114,-0.0061086523,0.002443461
91,-0.0061086523,-0.0061086523,0.008552114
100,-0.004886922,0.004886922,0.019547688
110,-0.014660766,0.0036651916,0.0012217305
120,-0.013439035,0.002443461,0.010995574
130,-0.017104227,-0.007330383,0.014660766
141,-0.004886922,0.008552114,0.004886922
150,-0.02076942,0.0,0.017104227
161,-0.014660766,-0.002443461,-0.0036651916
170,-0.013439035,-0.002443461,0.0061086523
180,0.012217305,-0.0061086523,-0.002443461
190,-0.010995574,-0.0036651916,0.0012217305
200,-0.0061086523,0.013439035,0.009773844
210,0.004886922,0.0,0.0061086523
221,-0.0036651916,-0.008552114,-0.002443461
230,-0.007330383,-0.0061086523,-0.0061086523
240,-0.015882496,-0.015882496,0.007330383
250,0.0036651916,-0.013439035,0.0036651916
260,0.015882496,-0.004886922,0.004886922
271,-0.009773844,-0.012217305,0.0012217305
280,-0.002443461,0.0,0.0012217305
290,0.009773844,0.0012217305,0.02076942
301,-0.02687807,-0.004886922,-0.004886922
310,0.009773844,0.0012217305,-0.004886922
320,0.004886922,0.0012217305,0.0
330,0.0,-0.0012217305,-0.019547688
340,-0.004886922,0.0036651916,-0.0036651916
351,0.002443461,0.0012217305,-0.008552114
360,0.0,-0.007330383,0.008552114
370,0.010995574,0.002443461,-0.0036651916
380,-0.002443461,-0.002443461,0.012217305
390,0.017104227,-0.0036651916,0.013439035
401,-0.007330383,-0.013439035,-0.010995574
410,-0.017104227,-0.002443461,0.010995574
420,-0.0012217305,0.009773844,0.007330383
430,-0.0061086523,-0.007330383,-0.0036651916
440,-0.010995574,-0.0036651916,-0.007330383
451,-0.008552114,-0.004886922,0.007330383
460,0.013439035,-0.0036651916,0.004886922
470,-0.02076942,0.0,0.0
480,-0.010995574,-0.004886922,0.0012217305
490,0.004886922,-0.002443461,0.009773844
501,0.018325957,-0.010995574,0.008552114
510,-0.007330383,-0.0061086523,-0.007330383
520,-0.0012217305,0.0,0.0061086523
530,0.0,0.0012217305,0.007330383
540,0.008552114,-0.007330383,0.008552114
551,0.002443461,0.004886922,0.002443461
560,0.0,0.0012217305,-0.0012217305
570,0.015882496,-0.002443461,0.008552114
581,-0.007330383,0.0036651916,0.015882496
590,-0.007330383,-0.004886922,-0.008552114
600,0.013439035,0.004886922,-0.0061086523
610,-0.010995574,-0.0036651916,0.004886922
620,0.0061086523,0.008552114,0.0
630,0.0,-0.008552114,-0.008552114
640,-0.0036651916,0.009773844,0.010995574
650,-0.0012217305,-0.0012217305,-0.004886922
660,-0.0061086523,-0.0012217305,0.009773844
671,0.008552114,-0.0061086523,0.0036651916
680,0.009773844,0.0,0.002443461
691,-0.010995574,-0.002443461,0.004886922
700,-0.009773844,0.0061086523,-0.0012217305
710,0.007330383,-0.004886922,-0.017104227
721,0.002443461,0.0012217305,-0.015882496
730,-0.0061086523,-0.0012217305,0.0
740,0.0061086523,-0.0036651916,0.014660766
750,0.012217305,0.0012217305,-0.004886922
760,0.009773844,0.009773844,0.014660766
772,-0.009773844,-0.004886922,0.013439035
780,-0.008552114,0.0,-0.0036651916
791,-0.008552114,0.0012217305,-0.0012217305
801,0.0061086523,0.0036651916,0.0012217305
810,-0.019547688,-0.0012217305,0.008552114
820,0.0036651916,-0.002443461,-0.007330383
831,-0.008552114,0.008552114,0.009773844
840,0.004886922,0.0012217305,-0.0012217305
850,-0.02443461,0.0,0.002443461
860,-0.0036651916,0.0036651916,-0.008552114
870,0.0036651916,-0.002443461,0.0012217305
881,-0.0012217305,0.013439035,0.0012217305
890,0.009773844,-0.009773844,0.0012217305
900,0.002443461,0.004886922,0.010995574
