Milliseconds,Illuminance
2,400.0
101,400.0
201,398.0
301,398.0
402,397.0
501,397.0
601,390.0
701,379.0
802,379.0
901,385.0
1001,385.0
1101,401.0
1201,401.0
1302,425.0
1401,425.0
1501,461.0
1601,473.0
1701,473.0
1802,474.0
1901,474.0
2001,453.0
2101,453.0
2201,443.0
2301,443.0
2402,426.0
2501,409.0
2601,409.0
2701,401.0
2802,401.0
2901,400.0
3002,400.0
3101,402.0
3201,402.0
3301,402.0
3401,401.0
3501,401.0
3602,397.0
3701,397.0
3801,390.0
3902,390.0
4001,382.0
4101,382.0
4201,378.0
4302,379.0
4401,379.0
4501,377.0
4601,377.0
4701,375.0
4802,375.0
4901,377.0
5001,377.0
5102,378.0
5201,375.0
5301,375.0
5401,384.0
5501,384.0
5601,392.0
5701,392.0
5802,398.0
5901,398.0
6001,390.0
6101,391.0
6201,391.0
6302,428.0
6402,428.0
6501,463.0
6602,463.0
6701,474.0
6801,474.0
6903,477.0
7002,480.0
7101,480.0
7202,482.0
7301,482.0
7401,482.0
7501,482.0
7602,484.0
7701,484.0
7902,487.0
7902,487.0
8001,442.0
8102,395.0
8201,395.0
8301,445.0
8401,445.0
8502,447.0
8601,447.0
8701,447.0
8803,457.0
8902,457.0
9001,458.0
9101,458.0
9201,460.0
9302,460.0
9401,462.0
9501,462.0
9601,464.0
9702,464.0
9801,464.0
9902,458.0
10001,458.0
10101,456.0
10201,456.0
10301,442.0
10402,442.0
10501,433.0
10601,443.0
10701,443.0
10802,461.0
10901,461.0
11001,482.0
11102,482.0
11201,483.0
11301,483.0
11401,490.0
11502,489.0
11601,489.0
11701,494.0
11801,494.0
11901,493.0
12001,493.0
12102,495.0
12201,495.0
12301,497.0
12401,501.0
12502,501.0
12602,501.0
12701,501.0
12802,504.0
12901,504.0
13002,501.0
13101,501.0
13201,495.0
13301,490.0
13403,490.0
13501,493.0
13601,493.0
13701,492.0
13801,492.0
13902,491.0
14001,491.0
14101,505.0
14201,519.0
14302,519.0
14401,491.0
14501,491.0
14601,454.0
14701,454.0
14802,441.0
14901,441.0
15001,448.0
15101,456.0
15202,456.0
15301,458.0
15401,458.0
15502,462.0
15601,462.0
15702,461.0
15801,461.0
15901,464.0
16002,466.0
16101,466.0
16201,461.0
16301,461.0
16402,461.0
16501,461.0
16601,461.0
16701,461.0
16802,464.0
16901,457.0
17001,457.0
17102,452.0
17201,452.0
17301,447.0
17401,447.0
17501,454.0
17602,454.0
17702,464.0
17801,464.0
17901,464.0
18002,450.0
18101,450.0
18201,440.0
18302,440.0
18401,438.0
18501,438.0
18601,460.0
18703,460.0
18801,466.0
18901,470.0
19003,470.0
19101,466.0
19202,466.0
19301,470.0
19402,470.0
19501,472.0
19601,474.0
19701,474.0
19802,474.0
19901,474.0
20002,471.0
20101,471.0
20201,468.0
20302,468.0
20401,464.0
20501,464.0
20602,462.0
20702,465.0
20801,465.0
20901,466.0
21002,466.0
21101,470.0
21201,470.0
21304,468.0
21402,468.0
21501,470.0
21601,469.0
21702,469.0
21802,474.0
21901,474.0
22002,474.0
22101,474.0
22203,476.0
22302,476.0
22401,477.0
22501,477.0
22601,477.0
22702,480.0
22801,480.0
22901,477.0
23002,477.0
23101,478.0
23201,478.0
23302,480.0
23401,481.0
23501,481.0
23601,484.0
23702,484.0
23801,483.0
23901,483.0
24002,485.0
24101,485.0
24202,485.0
24301,483.0
24401,483.0
24501,485.0
24601,485.0
24702,484.0
24801,484.0
24902,481.0
25001,481.0
25102,482.0
25201,482.0
25301,482.0
25402,480.0
25501,480.0
25602,480.0
25701,480.0
25802,480.0
25901,480.0
26001,479.0
26102,479.0
26201,479.0
26301,482.0
26401,482.0
26501,480.0
26602,480.0
26702,481.0
26801,481.0
26901,481.0
27002,481.0
27101,481.0
27203,482.0
27301,482.0
27401,481.0
27501,481.0
27602,484.0
27701,484.0
27802,484.0
27901,486.0
28001,486.0
28101,485.0
28202,485.0
