Milliseconds,X,Y,Z,cos,headingAccuracy
1,-0.178383,-0.495915,-0.384793,0.757747,246.0
102,-0.178717,-0.496436,-0.384057,0.7577,246.0
201,-0.178865,-0.497025,-0.38383,0.757394,246.0
304,-0.178156,-0.497647,-0.382954,0.757597,246.0
401,-0.177824,-0.498135,-0.382238,0.757716,246.0
501,-0.177769,-0.498325,-0.381946,0.757751,246.0
602,-0.178228,-0.498514,-0.38207,0.757456,246.0
701,-0.178304,-0.498717,-0.382077,0.757301,246.0
802,-0.178441,-0.499214,-0.382096,0.756931,246.0
901,-0.177739,-0.499519,-0.381398,0.757247,246.0
1001,-0.177345,-0.499736,-0.380614,0.757591,246.0
1102,-0.177511,-0.499723,-0.380469,0.757634,246.0
1201,-0.177425,-0.499894,-0.380483,0.757534,246.0
1301,-0.177496,-0.500011,-0.380164,0.7576,246.0
1401,-0.177534,-0.50013,-0.379893,0.757648,246.0
1502,-0.177861,-0.500162,-0.3798,0.757597,246.0
1601,-0.177749,-0.500178,-0.379766,0.75763,246.0
1701,-0.177891,-0.500312,-0.379897,0.757443,246.0
1801,-0.177901,-0.500351,-0.379661,0.757533,246.0
1901,-0.177954,-0.500416,-0.379709,0.757454,246.0
2001,-0.17788,-0.500517,-0.379652,0.757432,246.0
2101,-0.177943,-0.500384,-0.37966,0.757502,246.0
2202,-0.178027,-0.500313,-0.37982,0.757448,246.0
2301,-0.178027,-0.500286,-0.379632,0.75756,246.0
2401,-0.178235,-0.500274,-0.379677,0.757497,246.0
2501,-0.177991,-0.500324,-0.379656,0.757532,246.0
2602,-0.178367,-0.500467,-0.379468,0.757444,246.0
2701,-0.178195,-0.500569,-0.379519,0.757391,246.0
2804,-0.178219,-0.500435,-0.379661,0.757402,246.0
2901,-0.177885,-0.50056,-0.379727,0.757366,246.0
3001,-0.177885,-0.500525,-0.379438,0.757533,246.0
3102,-0.178008,-0.500468,-0.379401,0.75756,246.0
3201,-0.178285,-0.500307,-0.379476,0.757564,246.0
3302,-0.178357,-0.500325,-0.379568,0.757489,246.0
3401,-0.178312,-0.500467,-0.379502,0.75744,246.0
3501,-0.178088,-0.500489,-0.379584,0.757436,246.0
3602,-0.178074,-0.50048,-0.379516,0.757479,246.0
3701,-0.178183,-0.500388,-0.379385,0.75758,246.0
3801,-0.178432,-0.500374,-0.379404,0.757522,246.0
3901,-0.178312,-0.500351,-0.379505,0.757514,246.0
4002,-0.178386,-0.500268,-0.379515,0.757546,246.0
4101,-0.17873,-0.500208,-0.379631,0.757447,246.0
4201,-0.178542,-0.500323,-0.37975,0.757356,246.0
4301,-0.178476,-0.500437,-0.379704,0.757319,246.0
4401,-0.178166,-0.500619,-0.379624,0.757311,246.0
4502,-0.178125,-0.500683,-0.379538,0.757322,246.0
4601,-0.178295,-0.500736,-0.379374,0.75733,246.0
4703,-0.178053,-0.500812,-0.379379,0.757334,246.0
4801,-0.17805,-0.500918,-0.379331,0.757288,246.0
4901,-0.178162,-0.500865,-0.379262,0.757331,246.0
5001,-0.177984,-0.501009,-0.379376,0.757221,246.0
5102,-0.178206,-0.500855,-0.379135,0.757391,246.0
5201,-0.178555,-0.500867,-0.379224,0.757257,246.0
5301,-0.178567,-0.500852,-0.379045,0.757354,246.0
5401,-0.178638,-0.500817,-0.379227,0.757269,246.0
5501,-0.17853,-0.501026,-0.379207,0.757166,246.0
5601,-0.178521,-0.501083,-0.379088,0.75719,246.0
5701,-0.178444,-0.501117,-0.379065,0.757197,246.0
5802,-0.178173,-0.50117,-0.37922,0.757148,246.0
5901,-0.178178,-0.501303,-0.379023,0.757157,246.0
6001,-0.178155,-0.501359,-0.378897,0.757189,246.0
6101,-0.178177,-0.501232,-0.378984,0.757225,246.0
6202,-0.178472,-0.501067,-0.379052,0.75723,246.0
6301,-0.178366,-0.501096,-0.378959,0.757282,246.0
6401,-0.178326,-0.501043,-0.379115,0.757249,246.0
6502,-0.178097,-0.501247,-0.379109,0.757171,246.0
6601,-0.178142,-0.501215,-0.379099,0.757187,246.0
6702,-0.178086,-0.501326,-0.37905,0.75715,246.0
6801,-0.177976,-0.501245,-0.379107,0.757202,246.0
6901,-0.178035,-0.501115,-0.379267,0.757194,246.0
7002,-0.177835,-0.501094,-0.379253,0.757261,246.0
7101,-0.177902,-0.500997,-0.37909,0.757392,246.0
7201,-0.178064,-0.501093,-0.379069,0.7573,246.0
7302,-0.17792,-0.501063,-0.379112,0.757333,246.0
7401,-0.17807,-0.50117,-0.379049,0.757258,246.0
7501,-0.177919,-0.501184,-0.379015,0.757301,246.0
7602,-0.178039,-0.501139,-0.378957,0.757332,246.0
7702,-0.178213,-0.501197,-0.378961,0.757251,246.0
7900,-0.178067,-0.501292,-0.379063,0.757171,246.0
7902,-0.178067,-0.501292,-0.379063,0.757171,246.0
8001,-0.177749,-0.501112,-0.379031,0.757381,246.0
8102,-0.177824,-0.501023,-0.379047,0.757414,246.0
8201,-0.177832,-0.501267,-0.379032,0.757259,246.0
8301,-0.177701,-0.501294,-0.379014,0.75728,246.0
8401,-0.177953,-0.501335,-0.378781,0.75731,246.0
8502,-0.178008,-0.501295,-0.378875,0.757277,246.0
8601,-0.177885,-0.501434,-0.378896,0.757204,246.0
8701,-0.177819,-0.501161,-0.378924,0.757386,246.0
8802,-0.178174,-0.501328,-0.379022,0.757142,246.0
8901,-0.178013,-0.501345,-0.379074,0.757142,246.0
9001,-0.177755,-0.501435,-0.3789,0.757231,246.0
9102,-0.177725,-0.501213,-0.379047,0.757312,246.0
9201,-0.177934,-0.501215,-0.378974,0.757297,246.0
9301,-0.177728,-0.50128,-0.379052,0.757264,246.0
9402,-0.177812,-0.501174,-0.379101,0.757291,246.0
9501,-0.177727,-0.501288,-0.37917,0.7572,246.0
9601,-0.178079,-0.501268,-0.378835,0.757298,246.0
